outcome,from_year,for_years,gwcode,p_up,p_same,p_down
v2x_freexp_altinf,2005,2006 - 2007,2,0.0022222222222222222,0.9933432098765431,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,20,0.0011111111111111111,0.9988888888888889,0
v2x_freexp_altinf,2005,2006 - 2007,40,0.06666666666666667,0.9312592592592592,0.0022222222222222222
v2x_freexp_altinf,2005,2006 - 2007,41,0.32555555555555554,0.6010049382716048,0.10888888888888888
v2x_freexp_altinf,2005,2006 - 2007,42,0.01888888888888889,0.97020987654321,0.011111111111111112
v2x_freexp_altinf,2005,2006 - 2007,51,0.0044444444444444444,0.9909925925925925,0.004583333333333333
v2x_freexp_altinf,2005,2006 - 2007,52,0,0.9988888888888889,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,53,0.0044444444444444444,0.995279012345679,2.777777777777778e-4
v2x_freexp_altinf,2005,2006 - 2007,70,0.03,0.9522166666666667,0.018333333333333333
v2x_freexp_altinf,2005,2006 - 2007,90,0.023333333333333334,0.964367901234568,0.012592592592592593
v2x_freexp_altinf,2005,2006 - 2007,91,0.03888888888888889,0.9162592592592593,0.04666666666666667
v2x_freexp_altinf,2005,2006 - 2007,92,0.03111111111111111,0.9628781893004116,0.006203703703703704
v2x_freexp_altinf,2005,2006 - 2007,93,0.006666666666666667,0.974791111111111,0.018666666666666668
v2x_freexp_altinf,2005,2006 - 2007,94,0,0.9911111111111112,0.008888888888888889
v2x_freexp_altinf,2005,2006 - 2007,95,0.0077777777777777776,0.9711834362139917,0.021203703703703707
v2x_freexp_altinf,2005,2006 - 2007,100,0.08222222222222222,0.8411481893004116,0.083494708994709
v2x_freexp_altinf,2005,2006 - 2007,101,0.19802777777777777,0.6681086313198119,0.16691798941798944
v2x_freexp_altinf,2005,2006 - 2007,110,0.013333333333333334,0.9803840455840456,0.006367521367521368
v2x_freexp_altinf,2005,2006 - 2007,115,0.0044444444444444444,0.9822814814814815,0.013333333333333334
v2x_freexp_altinf,2005,2006 - 2007,130,0.025555555555555557,0.9340410905349794,0.04146296296296296
v2x_freexp_altinf,2005,2006 - 2007,135,0.0033333333333333335,0.9841160493827161,0.012592592592592593
v2x_freexp_altinf,2005,2006 - 2007,140,0.023333333333333334,0.9600271604938272,0.017037037037037035
v2x_freexp_altinf,2005,2006 - 2007,145,0.03111111111111111,0.8789155085243975,0.09286243386243387
v2x_freexp_altinf,2005,2006 - 2007,150,0.021111111111111112,0.9669246913580247,0.012222222222222223
v2x_freexp_altinf,2005,2006 - 2007,155,0.0077777777777777776,0.9861586419753087,0.006111111111111111
v2x_freexp_altinf,2005,2006 - 2007,160,0.011111111111111112,0.9513477366255144,0.03796296296296297
v2x_freexp_altinf,2005,2006 - 2007,165,0.005555555555555556,0.9756604938271606,0.01888888888888889
v2x_freexp_altinf,2005,2006 - 2007,200,0,0.9988888888888889,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,205,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,210,0.0011111111111111111,0.9988888888888889,0
v2x_freexp_altinf,2005,2006 - 2007,211,0.0022222222222222222,0.9977777777777778,0
v2x_freexp_altinf,2005,2006 - 2007,212,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,220,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,225,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,230,0.0033333333333333335,0.9966666666666667,0
v2x_freexp_altinf,2005,2006 - 2007,235,0.013333333333333334,0.9570666666666666,0.03
v2x_freexp_altinf,2005,2006 - 2007,260,0.0022222222222222222,0.9966691358024692,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,290,0.0038888888888888888,0.9787713991769547,0.01740740740740741
v2x_freexp_altinf,2005,2006 - 2007,305,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,310,0.0044444444444444444,0.9833876543209876,0.012222222222222223
v2x_freexp_altinf,2005,2006 - 2007,316,0,0.9998148148148148,1.8518518518518518e-4
v2x_freexp_altinf,2005,2006 - 2007,317,0,1,0
v2x_freexp_altinf,2005,2006 - 2007,325,0.011111111111111112,0.9877901234567902,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,339,0.042222222222222223,0.9353409465020576,0.023425925925925923
v2x_freexp_altinf,2005,2006 - 2007,343,0.06222222222222222,0.8627555555555556,0.08
v2x_freexp_altinf,2005,2006 - 2007,344,0.006666666666666667,0.9650969135802469,0.028425925925925927
v2x_freexp_altinf,2005,2006 - 2007,345,0.022222222222222223,0.9555061728395061,0.02277777777777778
v2x_freexp_altinf,2005,2006 - 2007,346,0.03222222222222222,0.9568710758377424,0.01126984126984127
v2x_freexp_altinf,2005,2006 - 2007,349,0.0022222222222222222,0.9889086419753087,0.008888888888888889
v2x_freexp_altinf,2005,2006 - 2007,350,0,0.9988888888888889,0.0011111111111111111
v2x_freexp_altinf,2005,2006 - 2007,352,0.0044444444444444444,0.9911308641975308,0.0044444444444444444
v2x_freexp_altinf,2005,2006 - 2007,355,0.0044444444444444444,0.966795061728395,0.028888888888888888
v2x_freexp_altinf,2005,2006 - 2007,359,0.06388888888888888,0.8479259773662552,0.0942037037037037
v2x_freexp_altinf,2005,2006 - 2007,360,0.17555555555555555,0.7622294238683127,0.07546296296296298
